County,Station,Date,FClass,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
1,101,10/19/2016,2,27,24,20,43,49,157,442,964,803,379,373,365,369,419,481,503,702,872,492,322,208,144,104,75
1,101,10/20/2016,2,26,27,20,20,40,149,446,921,722,465,423,387,408,483,551,611,750,945,568,358,236,187,175,86
1,103,10/19/2016,2,120,94,84,93,141,331,942,1992,1862,1101,1056,1046,949,1075,1120,1138,1249,1404,1053,722,573,392,274,187
1,103,10/20/2016,2,115,82,64,79,143,310,968,1908,1846,1139,1058,1049,1062,1029,1139,1207,1363,1442,1097,747,612,476,329,234
1,105,10/24/2016,3,35,22,21,33,74,138,139,269,216,221,210,227,256,258,255,291,315,322,263,158,126,77,51,66
1,107,11/07/2016,3,16,16,8,34,44,84,193,231,181,170,137,174,184,168,167,196,190,219,145,106,53,36,26,25
1,109,10/25/2016,3,138,74,76,84,212,632,1786,2541,2256,1719,1616,1640,1661,1747,1913,2238,2618,2827,1760,1111,777,556,389,221
